latitude,longitude,rsrp [dBm],rsrq,rssnr,cqi,weight,Unnamed: 7
-3.1447268,-58.4366191,-96,-12,-1,6,,
-3.1447268,-58.4366191,-96,-12,-1,6,,
-3.1447268,-58.4366191,-98,-14,-1,6,,
-3.1447268,-58.4366191,-98,-14,-1,6,,
-3.1447268,-58.4366191,-98,-14,-1,6,,
-3.1447268,-58.4366191,-98,-14,-1,6,,
-3.1447268,-58.4366191,-98,-14,-1,6,,
-3.1447226,-58.4366183,-98,-14,-1,6,,
-3.1447189,-58.4366176,-98,-14,-1,6,,
-3.1447163,-58.4366163,-98,-14,-1,6,,
-3.1447143,-58.4366152,-98,-14,-1,6,,
-3.1447148,-58.4366145,-99,-13,-1,12,,
-3.1447154,-58.436613,-99,-13,-1,12,,
-3.1447157,-58.4366123,-99,-13,-1,12,,
-3.1447162,-58.4366118,-99,-13,-1,12,,
-3.1447172,-58.4366111,-99,-13,-1,12,,
-3.1447171,-58.4366106,-99,-13,-1,12,,
-3.1447158,-58.4366093,-99,-13,-1,12,,
-3.1447147,-58.4366087,-99,-13,-1,12,,
-3.1447144,-58.4366087,-99,-13,-1,12,,
-3.1447145,-58.4366088,-95,-14,0,6,,
-3.1447148,-58.4366091,-95,-14,0,6,,
-3.144715,-58.4366092,-95,-14,0,6,,
-3.1447142,-58.4366092,-95,-14,0,6,,
-3.1447145,-58.436609,-95,-14,0,6,,
-3.1447156,-58.4366083,-95,-14,0,6,,
-3.1447154,-58.4366081,-95,-14,0,6,,
-3.1447148,-58.436609,-95,-14,0,6,,
-3.1447149,-58.4366097,-95,-14,0,6,,
-3.144715,-58.4366107,-96,-13,-1,7,,
-3.1447149,-58.4366118,-96,-13,-1,7,,
-3.144715,-58.4366127,-96,-13,-1,7,,
-3.1447152,-58.4366137,-96,-13,-1,7,,
-3.1447162,-58.436616,-96,-13,-1,7,,
-3.1447167,-58.4366173,-96,-13,-1,7,,
-3.1447168,-58.4366182,-96,-13,-1,7,,
-3.1447169,-58.4366194,-96,-13,-1,7,,
-3.1447165,-58.4366201,-96,-13,-1,7,,
-3.1447158,-58.4366196,-98,-16,-1,8,,
-3.1447158,-58.4366193,-98,-16,-1,8,,
-3.1447185,-58.436618,-98,-16,-1,8,,
-3.1447183,-58.4366177,-98,-16,-1,8,,
-3.1447182,-58.4366176,-98,-16,-1,8,,
-3.1447182,-58.4366174,-98,-16,-1,8,,
-3.1447179,-58.4366178,-98,-16,-1,8,,
-3.1447176,-58.436618,-98,-16,-1,8,,
-3.1447176,-58.4366184,-98,-16,-1,8,,
-3.1447172,-58.4366192,-98,-13,0,10,,
-3.1447169,-58.4366194,-98,-13,0,10,,
-3.1447164,-58.4366195,-98,-13,0,10,,
-3.1447168,-58.4366186,-98,-13,0,10,,
-3.1447196,-58.4366166,-98,-13,0,10,,
-3.1447204,-58.4366164,-98,-13,0,10,,
-3.1447215,-58.4366156,-98,-13,0,10,,
-3.1447224,-58.4366154,-98,-13,0,10,,
-3.1447236,-58.4366152,-104,-13,-1,11,,
-3.144725,-58.4366148,-104,-13,-1,11,,
-3.1447252,-58.4366141,-104,-13,-1,11,,
-3.1447251,-58.4366138,-104,-13,-1,11,,
-3.1447248,-58.4366134,-104,-13,-1,11,,
-3.1447236,-58.4366124,-104,-13,-1,11,,
-3.1447231,-58.4366117,-104,-13,-1,11,,
-3.1447231,-58.4366107,-104,-13,-1,11,,
-3.1447232,-58.4366103,-104,-13,-1,11,,
-3.1447222,-58.4366098,-98,-12,-1,11,,
-3.1447215,-58.43661,-98,-12,-1,11,,
-3.1447221,-58.4366119,-98,-12,-1,11,,
-3.1447233,-58.4366127,-98,-12,-1,11,,
-3.1447247,-58.4366138,-98,-12,-1,11,,
-3.1447254,-58.4366144,-98,-12,-1,11,,
-3.1447263,-58.4366155,-98,-12,-1,11,,
-3.1447275,-58.4366173,-98,-12,-1,11,,
-3.1447279,-58.4366179,-98,-12,-1,11,,
-3.1447286,-58.4366193,-101,-13,-1,8,,
-3.1447292,-58.4366202,-101,-13,-1,8,,
-3.1447294,-58.43662,-101,-13,-1,8,,
-3.1447294,-58.4366202,-101,-13,-1,8,,
-3.1447295,-58.4366205,-101,-13,-1,8,,
-3.1447299,-58.4366207,-101,-13,-1,8,,
-3.1447303,-58.4366207,-101,-13,-1,8,,
-3.1447305,-58.4366207,-101,-13,-1,8,,
-3.1447305,-58.4366219,-101,-13,-1,8,,
-3.144731,-58.4366224,-95,-11,0,11,,
-3.1447315,-58.4366229,-95,-11,0,11,,
-3.1447293,-58.4366212,-95,-11,0,11,,
-3.1447282,-58.4366202,-95,-11,0,11,,
-3.1447276,-58.4366197,-95,-11,0,11,,
-3.1447271,-58.4366193,-95,-11,0,11,,
-3.1447269,-58.4366192,-95,-11,0,11,,
-3.1447268,-58.4366191,-95,-11,0,11,,
-3.1447268,-58.4366191,-95,-11,0,11,,
-3.1447242,-58.4366151,-96,-14,-1,9,,
-3.1447234,-58.4366147,-96,-14,-1,9,,
-3.1447225,-58.4366144,-96,-14,-1,9,,
-3.1447221,-58.4366144,-96,-14,-1,9,,
-3.1447222,-58.4366163,-96,-14,-1,9,,
-3.1447202,-58.4366153,-96,-14,-1,9,,
-3.1447194,-58.4366152,-96,-14,-1,9,,
-3.1447192,-58.4366156,-96,-14,-1,9,,
-3.1447191,-58.4366162,-96,-14,-1,9,,
